start_ip,end_ip,join_key,city,region,region_name,country,country_name,latitude,longitude,postal_code,timezone,geoname_id,radius
63.69.85.233,63.69.85.233,63.69.0.0,Philadelphia,PA,Pennsylvania,US,United States,39.95238,-75.16362,19099,America/New_York,4560349,100
78.173.174.160,78.173.174.223,78.173.0.0,Çorum,19,Çorum,TR,Turkey,40.54889,34.95333,19000,Europe/Istanbul,748879,20
86.142.49.104,86.142.49.111,86.142.0.0,Llanelli,WLS,Wales,GB,United Kingdom,51.68195,-4.16191,SA15,Europe/London,2644100,5
186.60.140.214,186.60.140.231,186.60.0.0,Comodoro Rivadavia,U,Chubut,AR,Argentina,-45.86256,-67.494,9001,America/Argentina/Catamarca,3860443,5000
87.237.26.192,87.237.26.255,87.237.0.0,Arnhem,GE,Gelderland,NL,The Netherlands,51.98,5.91111,6811,Europe/Amsterdam,2759661,5
107.144.5.64,107.144.5.75,107.144.0.0,Tampa,FL,Florida,US,United States,27.94752,-82.45843,33606,America/New_York,4174757,10
217.243.41.71,217.243.41.71,217.243.0.0,Darmstadt,HE,Hesse,DE,Germany,49.87167,8.65027,64283,Europe/Berlin,2938913,1000
110.235.246.182,110.235.246.185,110.235.0.0,Phnom Penh,12,Phnom Penh,KH,Cambodia,11.56245,104.91601,,Asia/Phnom_Penh,1821306,20
87.137.228.212,87.137.228.213,87.137.0.0,Düsseldorf,NW,North Rhine-Westphalia,DE,Germany,51.22172,6.77616,40210,Europe/Berlin,2934246,100
97.112.28.239,97.112.28.255,97.112.0.0,Chicago,IL,Illinois,US,United States,41.85003,-87.65005,60666,America/Chicago,4887398,100
46.227.178.0,46.227.178.55,46.227.0.0,Trnava,TA,Trnava Region,SK,Slovakia,48.37773,17.58603,917 01,Europe/Bratislava,3057124,5
91.177.171.128,91.177.171.135,91.177.0.0,Aubange,WAL,Wallonia,BE,Belgium,49.56652,5.80492,6790,Europe/Brussels,2802990,5
63.240.18.7,63.240.19.0,63.240.0.0,New York City,NY,New York,US,United States,40.71427,-74.00597,10001,America/New_York,5128581,1000
37.13.11.176,37.13.11.179,37.13.0.0,Las Palmas de Gran Canaria,CN,Canary Islands,ES,Spain,28.10178,-15.41573,35001,Atlantic/Canary,2515270,500
190.97.232.0,190.97.236.255,190.97.0.0,El Vigía,L,Mérida,VE,Venezuela,8.6135,-71.65702,,America/Caracas,3641099,500
59.11.47.38,59.11.47.38,59.11.0.0,Seoul,11,Seoul,KR,South Korea,37.566,126.9784,03141,Asia/Seoul,1835848,200
36.141.95.160,36.141.95.175,36.141.0.0,Shenzhen,GD,Guangdong,CN,China,22.54554,114.0683,518000,Asia/Shanghai,1795565,500
70.116.178.160,70.116.178.175,70.116.0.0,Arlington,TX,Texas,US,United States,32.7785,-97.0834,76006,America/Chicago,4671240,5
211.139.116.192,211.139.116.195,211.139.0.0,Zhenjiang,JS,Jiangsu,CN,China,32.21086,119.45508,212000,Asia/Shanghai,1784642,1000
75.168.195.224,75.168.195.239,75.168.0.0,Brooklyn Park,MN,Minnesota,US,United States,45.09413,-93.35634,55443,America/Chicago,5019335,50
46.85.205.0,46.85.205.255,46.85.0.0,Schliersee,BY,Bavaria,DE,Germany,47.73621,11.85936,83727,Europe/Berlin,2838502,50
50.37.232.176,50.37.232.179,50.37.0.0,Brewster,WA,Washington,US,United States,48.09598,-119.78062,98812,America/Los_Angeles,5788077,10
207.225.40.174,207.225.40.176,207.225.0.0,Moses Lake,WA,Washington,US,United States,47.13014,-119.27808,98837,America/Los_Angeles,5803990,100
24.95.244.66,24.95.244.71,24.95.0.0,Bay Lake,FL,Florida,US,United States,28.38862,-81.56591,32830,America/New_York,4146844,500
157.47.20.188,157.47.20.191,157.47.0.0,Airoli,MH,Maharashtra,IN,India,19.1167,72.9833,400701,Asia/Kolkata,7279599,5000
112.191.9.22,112.191.9.22,112.191.0.0,Seoul,11,Seoul,KR,South Korea,37.566,126.9784,03141,Asia/Seoul,1835848,200
37.48.46.136,37.48.46.143,37.48.0.0,Ostrava,80,Moravskoslezský,CZ,Czechia,49.83465,18.28204,710 00,Europe/Prague,3068799,500
103.217.75.5,103.217.75.5,103.217.0.0,Brisbane,QLD,Queensland,AU,Australia,-27.46794,153.02809,4000,Australia/Brisbane,2174003,200
157.125.36.98,157.125.36.98,157.125.0.0,Manchester,ENG,England,GB,United Kingdom,53.48095,-2.23743,M1,Europe/London,2643123,200
202.102.207.198,202.102.207.198,202.102.0.0,Wuhu,AH,Anhui,CN,China,31.35259,118.42947,241000,Asia/Shanghai,1791236,200
