range,id,name,country,status,tech,maintainer,admin,source,whois_domain,updated,org,rdns_domain,domain,geoloc,org_address,asn,as_name,as_domain,as_type
63.157.217.176/29,Q0910-63-157-217-176,RANGER TITLE CO,US,REALLOCATION,BJO157-ARIN,,BJO157-ARIN,arin,,2019-09-10,RANGE-10,,rangertitle.com,,"2825 RIDGE RD, ROCKWALL, TX, US",AS209,"CenturyLink Communications, LLC",lumen.com,isp
213.26.179.96/30,TEXCOMPUTERSRL,TEX COMPUTER SRL,IT,ASSIGNED PA,PG11728-RIPE,RIPE-NCC-HM-MNT\NINTERB-MNT,PG11728-RIPE,ripe,texcomputer.com,2020-04-09,ORG-IA34-RIPE,texcomputer.com,texcomputer.com,,Via Oriolo Romano 240\nI-00189\nRoma\nITALY,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp
80.231.8.244/30,GOODMAN-TATAC,GOODMAN FRANCE SARL.::834302,FR,ASSIGNED PA,AS38343-RIPE,RIPE-NCC-HM-MNT\NTELEGLOBE-MNT,AS38343-RIPE,ripe,goodman.com,2016-11-14,ORG-TIC1-RIPE,,goodman.com,,1441 rue Carrie-Derick\nH3C 6W2\nMontreal Quebec\nCANADA,AS6453,TATA COMMUNICATIONS (AMERICA) INC,tatacommunications.com,isp
104.185.194.144/29,SBC-104-185-194-144-29-1410274834,Kimberly Goodwin,US,REASSIGNMENT,,,,arin,,2014-10-27,C05415259,,,,"SOUTHWEST DISABILITY SERVICE 825 193RD PL FL 1, Chicago Heights, IL, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
41.203.3.32/27,XNEELO-TSCOLO,xneelo-tscolo,ZA,ASSIGNED PA,HIA1-AFRINIC,HA-ZA,HIA1-AFRINIC,afrinic,xneelo.com,2021-12-15,,,xneelo.com,,,AS37153,Xneelo (Pty) Ltd,xneelo.co.za,hosting
120.181.200.0/24,GGSN-3G-ISAT-ID,GGSN 3G,ID,ALLOCATED NON-PORTABLE,IH151-AP,MAINT-ID-INDOSAT-INP,IH151-AP,apnic,ioh.co.id,2009-06-09,,,ioh.co.id,,,AS4761,INDOSAT Internet Network Provider,ioh.co.id,isp
82.187.216.200/29,LEGOSPA-GIA-LEGOCOMPANYSPA,LEGOSPA(GIA'LEGOCOMPANYSPA),IT,ASSIGNED PA,AB4596-RIPE,RIPE-NCC-HM-MNT\NINTERB-MNT,AB4596-RIPE,ripe,interbusiness.it,2004-06-23,ORG-IA34-RIPE,,interbusiness.it,,Via Oriolo Romano 240\nI-00189\nRoma\nITALY,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp
2001:1890:18a3:5d00::/56,ATT-EIPAM,HOSPITALITY HEALTH ER,US,REASSIGNMENT,,,,arin,,2021-09-29,C08048720,,hher24.com,,"452 FOREST SQ, LONGVIEW, TX, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
83.69.222.16/29,MASTERTEL-4180,Mastertel Network For Marin Gardens,RU,ASSIGNED PA,MTEL1-RIPE,RIPE-NCC-HM-MNT\NMASTERTEL-MNT,MTEL1-RIPE,ripe,mastertel.ru,2008-07-02,ORG-JM2-RIPE,mastertelecom.ru,mastertel.ru,,"office 15, building 3A, Stroitelnaya street\n143405\nKrasnogorsk, Krasnogorsk district, Moscow region\nRUSSIAN FEDERATION",AS29226,JSC Mastertel,mastertel.ru,hosting
198.50.129.112/28,OVH-CUST-7874291,Swift Media Group ltd,CA,REASSIGNMENT,,,,arin,,2018-07-09,C07018752,,swiftmediagroup.com,,"#113 14 mission ave, St. Albert, AB, CA",AS16276,OVH SAS,ovhcloud.com,hosting
114.251.65.48/29,BJZYYTSPYXGS,BJZYYTSPYXGS,CN,ASSIGNED NON-PORTABLE,GD317-AP,MAINT-CNCGROUP-BJ,GD317-AP,apnic,cnc-noc.net,2010-08-05,,,sohu.com,,,AS4808,China Unicom Beijing Province Network,chinaunicom.cn,isp
213.191.168.0/21,SOFIA-NADEJDA,A1 Bulgaria EAD,BG,ASSIGNED PA,SSS126-RIPE,RIPE-NCC-HM-MNT\NAS12716-MNT,SSS126-RIPE,ripe,a1.bg,2018-05-30,ORG-MN1-RIPE,,a1.bg,42.72683914955442 23.302001953125,1 Kukush Str.\n1309\nSofia\nBULGARIA,AS8717,A1 Bulgaria EAD,a1.bg,isp
58.216.230.172/30,CHANGZHOU-LARUI-CORP,Shanghai pulls auspicious clothing limited company Changzhou Subsidiary company,CN,ASSIGNED NON-PORTABLE,CH445-AP,MAINT-CHINANET-JS-CZ,CH445-AP,apnic,,2010-10-21,,,,,,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp
58.69.211.9,ADSL,CBGMDE2023092775733_ENTERPRISE CLIENT,PH,ASSIGNED NON-PORTABLE,NOC36-AP,PHIX-NOC-AP,NOC36-AP,apnic,pldt.com.ph,2023-09-29,,pldt.com.ph,pldt.com.ph,,,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp
66.32.74.4/31,66-32-74-4,ST  MARY S CREDIT UNION,US,REASSIGNMENT,,,,arin,,2023-10-04,C10232374,,,,"133 W MAIN ST, MARLBOROUGH, MA, US",AS7029,Windstream Communications LLC,windstream.com,isp
125.103.9.64/27,E-OS0006A34,ARTERIA Networks Corp.,JP,,JP00022296,,JP00022296,jpnic,arteria-net.com,2021-08-05,,arteria-net.com,arteria-net.com,,,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp
12.186.135.56/29,BETZ--SO22-135-56,BETZ  SONS INC,US,REASSIGNMENT,,,,arin,,2023-04-06,C09359174,,,,"1906 VAN NESS AV, SAN FRANCISCO, CA, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
70.231.28.64/29,SBC07023102806429051028062922,DENNIS BIRKHIMER-051028062902,US,REASSIGNMENT,,,,arin,,2017-12-28,C01207609,,,,"Private Address, Plano, TX, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
113.39.169.8/29,UF000045381,ARTERIA Networks Corp.,JP,,JP00022296,,JP00022296,jpnic,arteria-net.com,2024-12-06,,arteria-net.com,arteria-net.com,,,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp
209.16.64.0/19,XFONE-BLK-3,Vexus Fiber,US,ALLOCATION,EDINB-ARIN\NMIGUE46-ARIN\NPINKE44-ARIN,,PINKE44-ARIN,arin,vexusfiber.com,2024-03-05,NTSC,vexusfiber.com,vexusfiber.com,,"4006 W. Loop 289, LUBBOCK, TX, US",AS4314,Vexus Fiber,vexusfiber.com,isp
68.180.114.0/24,LALAUHA,LALAUHA,US,REASSIGNMENT,,,,arin,,2025-05-29,C11224479,,,,"515 Bertrand Dr, Lafayette, LA, US",AS23473,PAVLOV MEDIA INC,pavlovmedia.com,isp
79.188.21.8/29,CUSTOMER-IDSL-028466,static IP,PL,ASSIGNED PA,TPHT,RIPE-NCC-HM-MNT\NTPNET,TPHT,ripe,tpnet.pl,2010-09-24,ORG-PT1-RIPE,,tpnet.pl,,Al. Jerozolimskie 160\n02-326\nWarszawa\nPOLAND,AS5617,Orange Polska Spolka Akcyjna,orange.pl,isp
167.114.213.136/29,OVH-CUST-1373675,"OVH Hosting, Inc.",CA,REASSIGNMENT,NOC11876-ARIN,,NOC11876-ARIN,arin,,2015-05-14,HO-2,,ovh.net,,"800-1801 McGill College, Montreal, QC, CA",AS16276,OVH SAS,ovhcloud.com,hosting
91.109.128.0/19,RU-TIS-DIALOG-20120619,TIS Dialog LLC,RU,ALLOCATED PA,TECH18-RIPE,TIS-DIALOG-MNT,RADM8-RIPE,ripe,tis-dialog.ru,2023-12-19,ORG-TDL1-RIPE,,tis-dialog.ru,,Zarayskaya 17a\n236006\nKaliningrad\nRUSSIAN FEDERATION,AS31214,TIS Dialog LLC,tis-dialog.ru,isp
113.30.168.0/22,SRIVARI,Sri Vari Network Private Limited,IN,ALLOCATED PORTABLE,MT925-AP,MAINT-IN-IRINN,MT925-AP,apnic,srivarigroups.com,2021-07-12,,,srivarigroups.com,,,AS59191,PEERCAST TELECOM INDIA PVT LTD,peercastindia.com,isp
35.131.29.24/29,RESIDEO,RESIDEO,US,REASSIGNMENT,,,,arin,,2023-01-11,C09134766,,resideo.com,,"695 VISTA BLVD, SPARKS, NV, US",AS20115,Charter Communications LLC,charter.com,isp
218.57.138.128/26,SDCII-NET,Shandong coal industry information center,CN,ASSIGNED NON-PORTABLE,DS95-AP,MAINT-CNCGROUP-SD,DS95-AP,apnic,cnc-noc.net,2008-09-04,,,cnc-noc.net,,,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,isp
2a0a:4940:8bd0::/48,GIBIRNET-TURKEY,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,TR,ASSIGNED,AA31992-RIPE,RIPE-NCC-HM-MNT\NMNT-TR-GIBIRNET-TR-1,HA4255-RIPE,ripe,gibir.net.tr,2022-04-01,ORG-GIHS2-RIPE,,gibir.net.tr,37.8746 32.4932,Seker Mah. Kerbela Sok. No:2 ic Kapi No:803 Selcuklu/Konya\n42010\nKonya/Selcuklu\nTURKEY,AS208972,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr,isp
