network,country,country_code,continent,continent_code,asn,as_name,as_domain
2405:b500:2840:100::/56,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
240e:47c:7a20:8000::/49,Thailand,TH,Asia,AS,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn
2001:4dd0:af0b:bae6::/64,Hungary,HU,Europe,EU,AS8422,NetCologne Gesellschaft fur Telekommunikation mbH,netcologne.de
2001:1a81:3003:c488::/61,Germany,DE,Europe,EU,AS20676,Plusnet GmbH,plusnet.de
2001:4c8:9070::/45,Canada,CA,North America,NA,AS6461,Zayo Bandwidth,zayo.com
2a02:a313:21c8::/48,Netherlands,NL,Europe,EU,AS6830,Liberty Global B.V.,libertyglobal.com
41.177.0.0/16,South Africa,ZA,Africa,AF,AS36874,Cybersmart,cybersmart.co.za
2001:f40:400::/38,Malaysia,MY,Asia,AS,AS9930,TTNET-MY,time.com.my
108.61.254.0/23,Netherlands,NL,Europe,EU,AS20473,"The Constant Company, LLC",constant.com
2607:f138::4000:0:0/82,United States,US,North America,NA,AS19151,"BroadbandONE, LLC",365datacenters.com
2001:41d0:1:c8e0::/60,Belgium,BE,Europe,EU,AS16276,OVH SAS,ovhcloud.com
