network,city,region,region_code,country,country_code,continent,continent_code,latitude,longitude,timezone,postal_code,dma_code,geoname_id,radius,asn,as_name,as_domain,as_type,carrier_name,mcc,mnc,as_changed,geo_changed,is_anonymous,is_anycast,is_hosting,is_mobile,is_satellite,is_proxy,is_relay,is_tor,is_vpn,privacy_name
1.0.65.56/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2023-10-08,false,false,false,false,false,false,false,false,false,
1.0.65.58/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2023-10-15,false,false,false,false,false,false,false,false,false,
1.0.65.60/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2022-04-17,false,false,false,false,false,false,false,false,false,
1.0.65.64/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-02,false,false,false,false,false,false,false,false,false,
1.0.65.68/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-07-19,false,false,false,false,false,false,false,false,false,
1.0.65.72/29,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-06-28,false,false,false,false,false,false,false,false,false,
1.0.65.80/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-09,false,false,false,false,false,false,false,false,false,
1.0.65.82/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-06-21,false,false,false,false,false,false,false,false,false,
1.0.65.84/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-09,false,false,false,false,false,false,false,false,false,
1.0.65.88/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,,false,false,false,false,false,false,false,false,false,
1.0.65.92/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2023-06-11,false,false,false,false,false,false,false,false,false,
1.0.65.94/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,,false,false,false,false,false,false,false,false,false,
1.0.65.96/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-06-14,false,false,false,false,false,false,false,false,false,
1.0.65.100/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-06-28,false,false,false,false,false,false,false,false,false,
