network,city,region,region_code,country,country_code,continent,continent_code,latitude,longitude,timezone,postal_code,asn,as_name,as_domain,as_type,is_anonymous,is_anycast,is_hosting,is_mobile,is_satellite
1.20.80.112/29,Bangkok,Bangkok,10,Thailand,TH,Asia,AS,13.75398,100.50144,Asia/Bangkok,10200,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.10.176.88/29,Bangkok,Bangkok,10,Thailand,TH,Asia,AS,13.75398,100.50144,Asia/Bangkok,10200,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.143.144.0/24,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.2.132.96/28,Udon Thani,Udon Thani,41,Thailand,TH,Asia,AS,17.41567,102.78589,Asia/Bangkok,41000,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.20.190.140/31,Bangkok,Bangkok,10,Thailand,TH,Asia,AS,13.75398,100.50144,Asia/Bangkok,10200,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.20.91.248/31,Bangkok,Bangkok,10,Thailand,TH,Asia,AS,13.75398,100.50144,Asia/Bangkok,10200,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.0.213.84/30,Hua Hin,Prachuap Khiri Khan,77,Thailand,TH,Asia,AS,12.57065,99.95876,Asia/Bangkok,77110,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.113.56.28,Osaka,Osaka,27,Japan,JP,Asia,AS,34.69379,135.50107,Asia/Tokyo,543-0062,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.113.110.190/31,Hakodate,Hokkaido,01,Japan,JP,Asia,AS,41.77583,140.73667,Asia/Tokyo,040-0023,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.122.145.28/30,Gold Coast,Queensland,QLD,Australia,AU,Oceania,OC,-28.00029,153.43088,Australia/Brisbane,4217,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.120.128.134,Hobart,Tasmania,TAS,Australia,AU,Oceania,OC,-42.87936,147.32941,Australia/Hobart,7000,AS1221,Telstra Limited,telstra.com.au,isp,true,false,false,false,false
1.179.239.80/30,Bangkok,Bangkok,10,Thailand,TH,Asia,AS,13.75398,100.50144,Asia/Bangkok,10200,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.2.150.252/31,Udon Thani,Udon Thani,41,Thailand,TH,Asia,AS,17.41567,102.78589,Asia/Bangkok,41000,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.0.157.168/29,Nakhon Si Thammarat,Nakhon Si Thammarat,80,Thailand,TH,Asia,AS,8.43333,99.96667,Asia/Bangkok,80140,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.157.144.0/26,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.176.182.0/27,Seoul,Seoul,11,South Korea,KR,Asia,AS,37.566,126.9784,Asia/Seoul,03141,AS10066,LG HelloVision Corp.,lghellovision.net,isp,false,false,false,false,false
1.157.230.22/31,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.112.44.96/30,Osaka,Osaka,27,Japan,JP,Asia,AS,34.69379,135.50107,Asia/Tokyo,543-0062,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.115.160.104/29,Shizuoka,Shizuoka,22,Japan,JP,Asia,AS,34.98333,138.38333,Asia/Tokyo,420-0002,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.112.111.186,Osaka,Osaka,27,Japan,JP,Asia,AS,34.69379,135.50107,Asia/Tokyo,543-0062,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.1.215.48/31,Nakhon Phanom,Nakhon Phanom,48,Thailand,TH,Asia,AS,17.41081,104.77856,Asia/Bangkok,48000,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.1.229.8/29,Nakhon Ratchasima,Nakhon Ratchasima,30,Thailand,TH,Asia,AS,14.97066,102.10196,Asia/Bangkok,30280,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.122.177.192/27,Gold Coast,Queensland,QLD,Australia,AU,Oceania,OC,-28.00029,153.43088,Australia/Brisbane,4217,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.122.35.224/28,Pinjarra,Western Australia,WA,Australia,AU,Oceania,OC,-32.6298,115.87351,Australia/Perth,6208,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.10.228.251,Nakhon Pathom,Nakhon Pathom,73,Thailand,TH,Asia,AS,13.8196,100.04427,Asia/Bangkok,73000,AS23969,TOT Public Company Limited,ntplc.co.th,isp,true,false,false,false,false
1.122.190.224/27,Gold Coast,Queensland,QLD,Australia,AU,Oceania,OC,-28.00029,153.43088,Australia/Brisbane,4217,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.1.132.124/30,Phang Khon,Sakon Nakhon,47,Thailand,TH,Asia,AS,17.39051,103.71692,Asia/Bangkok,47160,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.194.239.4/30,Zhengzhou,Henan,HA,China,CN,Asia,AS,34.75778,113.64861,Asia/Shanghai,450000,AS137687,"Luoyang, Henan Province, P.R.China.",chinatelecom.cn,isp,false,false,false,false,false
1.176.253.128/25,Kimhae,Gyeongsangnam-do,48,South Korea,KR,Asia,AS,35.23417,128.88111,Asia/Seoul,50842,AS10066,LG HelloVision Corp.,lghellovision.net,isp,false,false,false,false,false
1.10.161.146/31,Ban Na Muang,Udon Thani,41,Thailand,TH,Asia,AS,17.23824,103.00892,Asia/Bangkok,41000,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.192.189.93,Zhengzhou,Henan,HA,China,CN,Asia,AS,34.75778,113.64861,Asia/Shanghai,450000,AS137687,"Luoyang, Henan Province, P.R.China.",chinatelecom.cn,isp,true,false,false,false,false
1.2.217.196/30,Bangkok,Bangkok,10,Thailand,TH,Asia,AS,13.75398,100.50144,Asia/Bangkok,10200,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.112.234.172/30,Osaka,Osaka,27,Japan,JP,Asia,AS,34.69379,135.50107,Asia/Tokyo,543-0062,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.1.140.83,Hat Yai,Songkhla,90,Thailand,TH,Asia,AS,7.00836,100.47668,Asia/Bangkok,90110,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.20.93.120,Bangkok,Bangkok,10,Thailand,TH,Asia,AS,13.75398,100.50144,Asia/Bangkok,10200,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.122.124.96/29,Perth,Western Australia,WA,Australia,AU,Oceania,OC,-31.95224,115.8614,Australia/Perth,6000,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.112.195.0/24,Azabu-jūban,Tokyo,13,Japan,JP,Asia,AS,35.65,139.7333,Asia/Tokyo,105-0022,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.179.240.154/31,Bangkok,Bangkok,10,Thailand,TH,Asia,AS,13.75398,100.50144,Asia/Bangkok,10200,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.0.145.156/31,Nakhon Si Thammarat,Nakhon Si Thammarat,80,Thailand,TH,Asia,AS,8.43333,99.96667,Asia/Bangkok,80140,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.0.154.38,Chumphon,Chumphon,86,Thailand,TH,Asia,AS,10.4957,99.17971,Asia/Bangkok,86140,AS23969,TOT Public Company Limited,ntplc.co.th,isp,true,false,false,false,false
1.2.251.43,Bangkok,Bangkok,10,Thailand,TH,Asia,AS,13.75398,100.50144,Asia/Bangkok,10200,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.122.244.96/28,Perth,Western Australia,WA,Australia,AU,Oceania,OC,-31.95224,115.8614,Australia/Perth,6000,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.2.232.54,Chang Klang,Nakhon Si Thammarat,80,Thailand,TH,Asia,AS,8.37094,99.56249,Asia/Bangkok,80150,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.112.122.42/31,Osaka,Osaka,27,Japan,JP,Asia,AS,34.69379,135.50107,Asia/Tokyo,543-0062,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.1.240.139,Kham Sakae Saeng,Nakhon Ratchasima,30,Thailand,TH,Asia,AS,15.33221,102.17278,Asia/Bangkok,30290,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.20.171.195,Khon Kaen,Khon Kaen,40,Thailand,TH,Asia,AS,16.44671,102.833,Asia/Bangkok,40140,AS23969,TOT Public Company Limited,ntplc.co.th,isp,true,false,false,false,false
1.112.123.71,Kawasaki,Kanagawa,14,Japan,JP,Asia,AS,35.52056,139.71722,Asia/Tokyo,205-0021,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
