ip,bssid,ssid,category,name,brand,city,region,country_code,latitude,longitude
1.0.163.48,74:da:38:b5:d3:ae,Krua_maungkhon,restaurant,ครัวเมืองคอน กระบี่,,Krabi,Krabi,TH,8.0812,98.903
1.0.163.80,"c0:9f:e1:aa:bd:2b,24:2f:d0:de:ef:4b,24:2f:d0:de:ef:4a,18:e8:29:5a:a9:78",WIFI Guest - Kan Eang Restaurant,restaurant,Kan Eang Seafood,,Phuket,Phuket,TH,7.8199,98.3444
1.0.163.176,"ac:15:a2:88:bd:a5,28:ff:3e:c8:72:ca",junglevillage1,hotel,Jungle Village Bungalows,,Ban Ao Nang,Krabi,TH,8.0473,98.8392
1.0.164.12,"8c:86:dd:35:96:b7,d8:b3:70:cd:15:ba,10:5a:95:c2:ca:eb,10:5a:95:c2:cc:a2,10:5a:95:c2:d7:34,56:3d:d1:6a:18:8e,56:3d:d1:6a:2a:94,6c:4c:bc:53:ac:4e,6c:4c:bc:53:ac:4f,6c:4c:bc:53:ac:9c,6c:4c:bc:53:ac:9d,6c:4c:bc:53:af:e1,6c:4c:bc:53:b0:30,6c:4c:bc:53:b0:d6,6c:4c:bc:53:b0:d7,8c:86:dd:35:91:24,8c:86:dd:35:91:25,10:5a:95:c2:ca:ea,10:5a:95:c2:cc:a3,10:5a:95:c2:d7:35,56:3d:d1:6a:18:8f,56:3d:d1:6a:2a:95,b8:69:f4:22:61:fd,b8:69:f4:22:62:f6,64:d1:54:fe:d4:e9,7a:83:c2:cb:28:9f,7a:83:c2:cb:2a:f3,cc:2d:e0:b5:0b:0b,d8:b3:70:ce:15:ba",Tubkaak,hotel,The Tubkaak Krabi Boutique Resort,,Ban Ao Nang,Krabi,TH,8.0914,98.7477
1.0.167.173,20:e8:82:c4:a3:88,Cozy Guesthouse_5G,restaurant,Cozy Restaurant,,Saladan,Krabi,TH,7.5985,99.0361
1.0.167.248,"44:ff:ba:10:77:6a,14:4d:67:15:79:54",Siripornchai 1-2,hotel,Baan Siriponchai,,Takua Pa,Phang Nga,TH,8.8651,98.3416
1.0.169.66,"2a:d0:f5:23:08:32,2a:d0:f5:23:06:fe,2a:d0:f5:23:11:42,2a:d0:f5:a3:11:42,d6:31:27:af:83:e8,2a:d0:f5:23:12:4e,14:4d:67:25:09:c0",HINTOK-WIFI,hotel,Hintok River Camp @ Kanchanaburi,,Si Sawat,Kanchanaburi,TH,14.3535,98.9296
1.0.169.70,"2a:d0:f5:23:12:4e,d6:31:27:2f:83:e8,28:d0:f5:5a:06:0c,2a:d0:f5:a3:08:32,2a:d0:f5:23:06:fe",HINTOK-WIFI,hotel,Hintok River Camp @ Kanchanaburi,,Si Sawat,Kanchanaburi,TH,14.3535,98.9296
1.0.169.209,"e4:8d:8c:47:27:01,90:a7:c1:02:e9:05",ITFOOD00,business_services,ไอ.ที. ฟูดส์อินดัสทรีส์ จำกัด,,Samut Sakhon,Samut Sakhon,TH,13.5446,100.2175
1.0.169.235,"28:ee:52:47:52:72,9c:53:22:e6:82:2e,b8:16:5f:1d:63:8a,ac:84:c6:0b:ca:52,b8:16:5f:0d:41:7e",Grace-WiFi 2.4GHz,restaurant,The Grace,,Samut Songkhram,Samut Songkhram,TH,13.4005,99.9802
